Year;ECO;Games;WhiteWins;BlackWins;Draws
1921;B01;1;1;0;0
1921;C34;1;1;0;0
1921;C40;1;0;1;0
1921;C56;1;1;0;0
1921;C87;1;0;0;1
1922;C65;1;0;0;1
1922;D38;1;0;1;0
1922;D51;1;1;0;0
1922;D53;1;0;1;0
1922;E10;1;0;0;1
1924;C44;1;1;0;0
1924;D46;1;1;0;0
1924;D52;1;0;1;0
1924;D63;1;1;0;0
1929;A21;1;0;1;0
1929;C54;1;0;1;0
1929;D45;1;0;0;1
1929;E10;1;0;1;0
1931;B01;1;1;0;0
1931;B12;1;1;0;0
1931;B27;1;1;0;0
1931;B34;1;1;0;0
1931;C12;1;0;1;0
1931;C33;2;2;0;0
1931;D02;1;0;1;0
1931;D36;1;0;1;0
1931;E20;1;0;1;0
1931;E60;1;0;1;0
1932;B01;1;1;0;0
1932;B06;1;1;0;0
1932;B12;1;1;0;0
1932;B13;1;0;1;0
1932;B24;1;1;0;0
1932;C00;1;0;1;0
1932;C11;1;0;1;0
1932;C22;1;0;1;0
1932;C25;2;2;0;0
1932;C29;1;1;0;0
1932;D00;1;0;1;0
1932;D02;2;0;2;0
1932;D05;2;1;0;1
1932;D08;1;0;1;0
1932;D12;1;1;0;0
1932;D15;1;1;0;0
1932;D30;1;0;0;1
1932;D35;1;1;0;0
1932;D79;1;0;1;0
1932;E16;1;1;0;0
1933;A00;7;2;3;2
1933;A40;1;1;0;0
1933;A46;1;1;0;0
1933;B02;1;1;0;0
1933;B13;1;1;0;0
1933;C01;1;1;0;0
1933;C10;1;1;0;0
1933;C13;1;0;1;0
1933;C32;1;1;0;0
1933;C33;1;0;1;0
1933;C86;1;0;1;0
1933;C87;1;0;0;1
1933;D05;1;1;0;0
1933;D30;1;1;0;0
1933;D46;1;0;0;1
1933;D52;1;1;0;0
1933;D53;1;0;1;0
1933;D90;1;0;0;1
1933;D94;1;0;1;0
1933;D95;2;2;0;0
1933;E16;3;1;1;1
1933;E17;1;0;1;0
1933;E23;2;1;0;1
1933;E38;1;0;0;1
1933;E90;1;0;1;0
1934;A09;1;0;1;0
1934;A25;1;1;0;0
