Date;PlayerName;Elo
1985;Adams, Michael;2360
1986;Adams, Michael;2295
1987;Adams, Michael;2360
1988;Adams, Michael;2460
1989;Adams, Michael;2510
1990;Adams, Michael;2590
1991;Adams, Michael;2615
1992;Adams, Michael;2620
1993;Adams, Michael;2630
1994;Adams, Michael;2675
1995;Adams, Michael;2660
1996;Adams, Michael;2685
1997;Adams, Michael;2680
1998;Adams, Michael;2716
1999;Adams, Michael;2716
2000;Adams, Michael;2755
2001;Adams, Michael;2750
2002;Adams, Michael;2752
2003;Adams, Michael;2734
2004;Adams, Michael;2740
2005;Adams, Michael;2741
2006;Adams, Michael;2732
1982;Akopian, Vladimir;2315
1988;Akopian, Vladimir;2460
1989;Akopian, Vladimir;2525
1990;Akopian, Vladimir;2550
1991;Akopian, Vladimir;2590
1992;Akopian, Vladimir;2605
1993;Akopian, Vladimir;2615
1994;Akopian, Vladimir;2630
1995;Akopian, Vladimir;2655
1996;Akopian, Vladimir;2630
1997;Akopian, Vladimir;2660
1998;Akopian, Vladimir;2660
1999;Akopian, Vladimir;2724
2000;Akopian, Vladimir;2660
2001;Akopian, Vladimir;2660
2002;Akopian, Vladimir;2689
2003;Akopian, Vladimir;2703
2004;Akopian, Vladimir;2693
2005;Akopian, Vladimir;2707
2006;Akopian, Vladimir;2713
1984;Anand, Viswanathan;2345
1985;Anand, Viswanathan;2385
1986;Anand, Viswanathan;2420
1987;Anand, Viswanathan;2505
1988;Anand, Viswanathan;2555
1989;Anand, Viswanathan;2555
1990;Anand, Viswanathan;2610
1991;Anand, Viswanathan;2650
1992;Anand, Viswanathan;2690
1993;Anand, Viswanathan;2725
1994;Anand, Viswanathan;2720
1995;Anand, Viswanathan;2725
1996;Anand, Viswanathan;2750
1997;Anand, Viswanathan;2765
1998;Anand, Viswanathan;2795
1999;Anand, Viswanathan;2795
2000;Anand, Viswanathan;2771
2001;Anand, Viswanathan;2794
2002;Anand, Viswanathan;2757
2003;Anand, Viswanathan;2774
2004;Anand, Viswanathan;2782
2005;Anand, Viswanathan;2792
2006;Anand, Viswanathan;2803
2007;Anand, Viswanathan;2786
1970;Andersson, Ulf;2535
1971;Andersson, Ulf;2510
1972;Andersson, Ulf;2535
1973;Andersson, Ulf;2555
1974;Andersson, Ulf;2580
1975;Andersson, Ulf;2565
1976;Andersson, Ulf;2585
1977;Andersson, Ulf;2565
1978;Andersson, Ulf;2585
1979;Andersson, Ulf;2560
1980;Andersson, Ulf;2590
1981;Andersson, Ulf;2610
1982;Andersson, Ulf;2635
1983;Andersson, Ulf;2640
1984;Andersson, Ulf;2630
1985;Andersson, Ulf;2590
1986;Andersson, Ulf;2600
1987;Andersson, Ulf;2600
1988;Andersson, Ulf;2625
1989;Andersson, Ulf;2635
1990;Andersson, Ulf;2630
1991;Andersson, Ulf;2640
1992;Andersson, Ulf;2605
1993;Andersson, Ulf;2625
1994;Andersson, Ulf;2620
1995;Andersson, Ulf;2630
1996;Andersson, Ulf;2640
1997;Andersson, Ulf;2655
1998;Andersson, Ulf;2645
1999;Andersson, Ulf;2625
2000;Andersson, Ulf;2691
2001;Andersson, Ulf;2640
2002;Andersson, Ulf;2599
2003;Andersson, Ulf;2594
2004;Andersson, Ulf;2580
2005;Andersson, Ulf;2584
2006;Andersson, Ulf;2565
1994;Aronian, Levon;1995
1995;Aronian, Levon;2330
1996;Aronian, Levon;2390
1997;Aronian, Levon;2420
1998;Aronian, Levon;2455
1999;Aronian, Levon;2518
2000;Aronian, Levon;2587
2001;Aronian, Levon;2562
2002;Aronian, Levon;2610
2003;Aronian, Levon;2649
2004;Aronian, Levon;2675
2005;Aronian, Levon;2724
2006;Aronian, Levon;2762
2007;Aronian, Levon;2759
1994;Attal, Maxence;2700
2001;Attal, Maxence;1300
1997;Azarov, Sergei;2115
1998;Azarov, Sergei;2445
1999;Azarov, Sergei;2432
2000;Azarov, Sergei;2429
2001;Azarov, Sergei;2490
2002;Azarov, Sergei;2532
2003;Azarov, Sergei;2542
2004;Azarov, Sergei;2556
2005;Azarov, Sergei;2793
2006;Azarov, Sergei;2592
1989;Babula, Vlastimil;2132
1990;Babula, Vlastimil;2260
1991;Babula, Vlastimil;2335
1992;Babula, Vlastimil;2380
1993;Babula, Vlastimil;2450
1994;Babula, Vlastimil;2530
1995;Babula, Vlastimil;2540
1996;Babula, Vlastimil;2545
1997;Babula, Vlastimil;2595
1998;Babula, Vlastimil;2575
1999;Babula, Vlastimil;2730
2000;Babula, Vlastimil;2582
2001;Babula, Vlastimil;2566
2002;Babula, Vlastimil;2590
2003;Babula, Vlastimil;2594
2004;Babula, Vlastimil;2594
2005;Babula, Vlastimil;2604
2006;Babula, Vlastimil;2584
1985;Bareev, Evgeny;2310
1986;Bareev, Evgeny;2470
1987;Bareev, Evgeny;2555
1988;Bareev, Evgeny;2560
1989;Bareev, Evgeny;2580
1990;Bareev, Evgeny;2605
1991;Bareev, Evgeny;2680
1992;Bareev, Evgeny;2670
1993;Bareev, Evgeny;2670
1994;Bareev, Evgeny;2685
1995;Bareev, Evgeny;2675
1996;Bareev, Evgeny;2655
1997;Bareev, Evgeny;2670
1998;Bareev, Evgeny;2690
1999;Bareev, Evgeny;2709
2000;Bareev, Evgeny;2709
2001;Bareev, Evgeny;2719
2002;Bareev, Evgeny;2737
2003;Bareev, Evgeny;2739
2004;Bareev, Evgeny;2715
2005;Bareev, Evgeny;2709
2006;Bareev, Evgeny;2701
1971;Beliavsky, Alexander G;2400
1972;Beliavsky, Alexander G;2420
1973;Beliavsky, Alexander G;2450
1974;Beliavsky, Alexander G;2460
1975;Beliavsky, Alexander G;2500
1976;Beliavsky, Alexander G;2560
1977;Beliavsky, Alexander G;2555
1978;Beliavsky, Alexander G;2545
1979;Beliavsky, Alexander G;2595
1980;Beliavsky, Alexander G;2590
1981;Beliavsky, Alexander G;2625
1982;Beliavsky, Alexander G;2620
1983;Beliavsky, Alexander G;2590
1984;Beliavsky, Alexander G;2620
1985;Beliavsky, Alexander G;2640
1986;Beliavsky, Alexander G;2625
1987;Beliavsky, Alexander G;2630
1988;Beliavsky, Alexander G;2665
1989;Beliavsky, Alexander G;2640
1990;Beliavsky, Alexander G;2640
1991;Beliavsky, Alexander G;2655
1992;Beliavsky, Alexander G;2620
1993;Beliavsky, Alexander G;2635
1994;Beliavsky, Alexander G;2650
1995;Beliavsky, Alexander G;2650
1996;Beliavsky, Alexander G;2665
1997;Beliavsky, Alexander G;2710
1998;Beliavsky, Alexander G;2690
1999;Beliavsky, Alexander G;2650
2000;Beliavsky, Alexander G;2654
2001;Beliavsky, Alexander G;2668
2002;Beliavsky, Alexander G;2661
2003;Beliavsky, Alexander G;2668
2004;Beliavsky, Alexander G;2679
2005;Beliavsky, Alexander G;2635
2006;Beliavsky, Alexander G;2639
1978;Benjamin, Joel;2300
1979;Benjamin, Joel;2320
1980;Benjamin, Joel;2350
1981;Benjamin, Joel;2405
1982;Benjamin, Joel;2475
1983;Benjamin, Joel;2605
1984;Benjamin, Joel;2520
1985;Benjamin, Joel;2540
1986;Benjamin, Joel;2555
1987;Benjamin, Joel;2575
1988;Benjamin, Joel;2565
1989;Benjamin, Joel;2545
1990;Benjamin, Joel;2560
1991;Benjamin, Joel;2555
1992;Benjamin, Joel;2570
1993;Benjamin, Joel;2703
1994;Benjamin, Joel;2620
1995;Benjamin, Joel;2575
1996;Benjamin, Joel;2570
1997;Benjamin, Joel;2580
1998;Benjamin, Joel;2595
1999;Benjamin, Joel;2658
2000;Benjamin, Joel;2591
2001;Benjamin, Joel;2587
2002;Benjamin, Joel;2609
2003;Benjamin, Joel;2589
2004;Benjamin, Joel;2566
2005;Benjamin, Joel;2576
2006;Benjamin, Joel;2576
1952;Bisguier, Arthur Bernard;2430
1958;Bisguier, Arthur Bernard;2430
1964;Bisguier, Arthur Bernard;2430
1972;Bisguier, Arthur Bernard;2430
1973;Bisguier, Arthur Bernard;2420
1974;Bisguier, Arthur Bernard;2464
1975;Bisguier, Arthur Bernard;2445
1976;Bisguier, Arthur Bernard;2440
1977;Bisguier, Arthur Bernard;2440
1978;Bisguier, Arthur Bernard;2435
1979;Bisguier, Arthur Bernard;2445
1980;Bisguier, Arthur Bernard;2455
1981;Bisguier, Arthur Bernard;2515
1982;Bisguier, Arthur Bernard;2498
1983;Bisguier, Arthur Bernard;2458
1984;Bisguier, Arthur Bernard;2510
1985;Bisguier, Arthur Bernard;2440
1986;Bisguier, Arthur Bernard;2430
1987;Bisguier, Arthur Bernard;2420
1988;Bisguier, Arthur Bernard;2430
1989;Bisguier, Arthur Bernard;2475
1990;Bisguier, Arthur Bernard;2390
1991;Bisguier, Arthur Bernard;2370
1992;Bisguier, Arthur Bernard;2380
1993;Bisguier, Arthur Bernard;2455
1994;Bisguier, Arthur Bernard;2370
1995;Bisguier, Arthur Bernard;2380
1996;Bisguier, Arthur Bernard;2425
1997;Bisguier, Arthur Bernard;2395
1998;Bisguier, Arthur Bernard;2370
1999;Bisguier, Arthur Bernard;2401
2000;Bisguier, Arthur Bernard;2346
2001;Bisguier, Arthur Bernard;2331
2002;Bisguier, Arthur Bernard;2310
2003;Bisguier, Arthur Bernard;2297
2004;Bisguier, Arthur Bernard;2295
2005;Bisguier, Arthur Bernard;2265
