WhiteName;GiniImpurity;GamesInDataset;MaxElo
Aagaard, Jacob;0.9473684210526316;19;2457
Aaron, Manuel;0.945179584120983;23;2380
Abdulla, Al Rakib;0.86;10;2484
Abergel, Thal;0.9090909090909091;11;2456
Abramovic, Bosko;0.9708454810495627;98;2524
Abreu, Aryam;0.8977777777777778;15;2493
Acs, Peter;0.9641583786826797;73;2623
Adams, Mi;0.9382716049382716;18;2735
Adams, Michael;0.9852684900756143;1104;2755
Adamski, Andrzej;0.86;10;2410
Adamski, Jan;0.9788481005914007;137;2470
Ader Hausman, Walter;0.9545454545454546;22;2360
Adianto, Utut;0.9743008314436886;126;2615
Adla, Diego Gustavo;0.945179584120983;23;2504
Adorjan, Andras;0.9903281480511047;838;2580
Adrian, Claude;0.9155555555555556;15;2505
Afek, Yochanan;0.8140495867768596;22;2450
Afifi, Assem;0.9467455621301775;26;2405
Agamaliev, Gamil;0.84;10;2521
Agdamus, Jose Luis;0.9183673469387755;14;2210
Agdestein, Simen;0.9894114611054661;498;2630
Agopov, Mikael;0.923076923076923;13;2412
Agrest, Evgenij;0.9698;100;2616
Agzamov, Georgy;0.9849135210200732;178;2590
Ahlander, Bjorn;0.8925619834710744;11;2424
Akesson, Ralf;0.9746669168699569;73;2535
Akobian, Varuzhan;0.9376181474480151;23;2600
Akopian, Vl;0.9081632653061225;14;2700
Akopian, Vladimir;0.9892854207758054;624;2724
Akvist, Hakan;0.9375;16;2340
Al Modiahki, Mohamad;0.95836376917458;37;2581
Al Sayed, Mohamad Naser;0.8999999999999999;10;2492
Alavkin, Arseny;0.86;10;2498
Alburt, Lev O;0.9798828358092787;439;2580
Aleksandrov, Aleksej;0.976898978460873;577;2679
Alekseev, Evgeny;0.9670138888888888;48;2679
Alexandria, Nana;0.86;10;2375
Allan, Denis;0.9155555555555556;15;2355
Almasi, Istvan;0.935;20;2451
Almasi, Zoltan;0.9813261467166076;694;2676
Alonso, Salvador;0.9090909090909091;11;2484
Alster, Ladislav;0.9387755102040817;21;2250
Alterman, Boris;0.9718;100;2616
Alvarez Ibarra, Rafael;0.8999999999999999;10;2440
Alzate, Dario;0.9585798816568047;26;2432
Ambarcumjan, Armen;0.88;10;2424
Ambroz, Jan;0.9679528061224489;224;2600
Amonatov, Farrukh;0.9433106575963719;21;2599
Amos, Bruce M;0.9473684210526316;19;2420
Amura, Claudia Noemi;0.9526627218934911;26;2405
Anagnostopoulos, Dimitrios;0.9433106575963719;21;2515
Anand, V;0.9174579985390796;37;2786
Anand, Viswanathan;0.9851962687754594;1157;2803
Anastasian, Ashot;0.9781510107015458;116;2606
Andersen, Borge;0.9695960016659725;49;2390
Andersson, Ulf;0.9832623488765104;1341;2691
Andonov, Bogomil;0.9099999999999999;20;2475
Andres Mendez, Miguel;0.8977777777777778;15;2410
Andrianov, Nikolai;0.9585798816568047;39;2482
Andruet, Gilles;0.953981008035062;37;2450
Angantysson, Haukur;0.953125;32;2425
Anic, Darko;0.9464575446187128;43;2499
Anikaev, Yuri N;0.9718792866941015;54;2475
Anka, Emil;0.9626038781163435;38;2477
Annageldyev, Orazly;0.9382716049382716;18;2491
Annakov, Babakuli;0.86;10;2600
Ansell, Simon;0.8472222222222222;12;2400
